/citations?hl=en&user=unwawwoAAAAJ,John Kalbfleisch
/citations?hl=en&user=QbTxlIUAAAAJ,Matthias Kretzler
/citations?hl=en&user=TXSYu6cAAAAJ,Martin Myers
/citations?hl=en&user=22HTHhYAAAAJ,Susan Gelman
/citations?hl=en&user=k1ME79AAAAAJ,Nick C Ellis
/citations?hl=en&user=8RgDBoEAAAAJ,Satinder Singh
/citations?hl=en&user=1KLc5TEAAAAJ,Jerome Nriagu
/citations?hl=en&user=zEOPY0UAAAAJ,Theodore S Lawrence
/citations?hl=en&user=HcXEilsAAAAJ,Venkat Ramaswamy
/citations?hl=en&user=q_zZulIAAAAJ,Susan Ashford
/citations?hl=en&user=_6bZVPQAAAAJ,Stephen J Weiss
/citations?hl=en&user=J1FqM5IAAAAJ,John Vandermeer
/citations?hl=en&user=PWcRMeQAAAAJ,Brenda W Gillespie
/citations?hl=en&user=UetM7FgAAAAJ,Rada Mihalcea
/citations?hl=en&user=lUntYU0AAAAJ,Ken Inoki
/citations?hl=en&user=qR2muW4AAAAJ,"David E. Meyer, Ph. D."
/citations?hl=en&user=wpaYnXAAAAAJ,Richard Miller
/citations?hl=en&user=WTpeMcMAAAAJ,James D. Wells
/citations?hl=en&user=tr3_utgAAAAJ,Shaomeng Wang
/citations?hl=en&user=pPInY4UAAAAJ,Wei D. Lu
/citations?hl=en&user=zN-_LvkAAAAJ,Michael Schubnell
/citations?hl=en&user=3nuovy0AAAAJ,John W Kingdon
/citations?hl=en&user=oHfZa_oAAAAJ,Donald Kinder
/citations?hl=en&user=Jc7sf8YAAAAJ,Knute Nadelhoffer
/citations?hl=en&user=gxL4968AAAAJ,Mark Prince
/citations?hl=en&user=W5uOdx0AAAAJ,Jeeseon Song
/citations?hl=en&user=w_wKIjEAAAAJ,John Bound
/citations?hl=en&user=qmwdWu8AAAAJ,Donald R. Zak
/citations?hl=en&user=1VfhHlIAAAAJ,Jeffrey Liker
/citations?hl=en&user=z8nJn6kAAAAJ,John DeLancey
/citations?hl=en&user=9RjwMEAAAAAJ,Joel Slemrod
/citations?hl=en&user=th_LPfoAAAAJ,Dennis S. Bernstein
/citations?hl=en&user=6k2yZo0AAAAJ,"Kevin C. Chung, MD, MS"
/citations?hl=en&user=SftrEEMAAAAJ,Paul Resnick
/citations?hl=en&user=WhSqRmsAAAAJ,Douglas C. Noll
/citations?hl=en&user=EDLYcWMAAAAJ,Neal Krause
/citations?hl=en&user=d5TrVQMAAAAJ,David Dunning
/citations?hl=en&user=koFhMrAAAAAJ,James Anthony Ashton-Miller
/citations?hl=en&user=DSiNzkIAAAAJ,Alfred Hero
/citations?hl=en&user=Nfk56zkAAAAJ,Nansook Park
/citations?hl=en&user=H9tloLUAAAAJ,"Justin B. Dimick, MD, MPH"
/citations?hl=en&user=d1KEK84AAAAJ,Trevor Mudge
/citations?hl=en&user=9tzvo38AAAAJ,George Furnas
/citations?hl=en&user=H_YM2p8AAAAJ,Sharon C. Glotzer
/citations?hl=en&user=x00thE4AAAAJ,Katherine McGonagle
/citations?hl=en&user=TX2QLhkAAAAJ,Eran Pichersky
/citations?hl=en&user=hUusOTYAAAAJ,Melvin G Mcinnis
/citations?hl=en&user=VvlgtKEAAAAJ,Rajeev Batra
/citations?hl=en&user=5Pt-xyEAAAAJ,"Peter J. Polverini, DDS, DMSc."
/citations?hl=en&user=RHbhpa0AAAAJ,Margit Burmeister
/citations?hl=en&user=MI_-OHkAAAAJ,Noboru Kikuchi
/citations?hl=en&user=NKhQVZYAAAAJ,Evan Keller
/citations?hl=en&user=Aj4dNqcAAAAJ,Jeffrey M Kidd
/citations?hl=en&user=lW1YHDwAAAAJ,Hitinder Gurm
/citations?hl=en&user=4XYLqJUAAAAJ,Laura Rozek
/citations?hl=en&user=hwIP8tQAAAAJ,Kathleen R. Cho
/citations?hl=en&user=O0P0H0MAAAAJ,Henry Paulson
/citations?hl=en&user=S6qKlhcAAAAJ,Jeffrey L. Platt
/citations?hl=en&user=B8O_SVkAAAAJ,Todd Austin
/citations?hl=en&user=cyvU8R0AAAAJ,Randall K. Ten Haken
/citations?hl=en&user=JvPJ6dEAAAAJ,Lena Napolitano
/citations?hl=en&user=aLx99vUAAAAJ,Shuang Li
/citations?hl=en&user=HsyuOW8AAAAJ,Betsy Foxman
/citations?hl=en&user=oGp6m6cAAAAJ,James P Walsh
/citations?hl=en&user=jsDNw-8AAAAJ,Kate Napier
/citations?hl=en&user=Y_9pKVIAAAAJ,David Weir
/citations?hl=en&user=YvfW6SkAAAAJ,Maria Carmen Lemos
/citations?hl=en&user=SY2dPFQAAAAJ,L. Jay Guo
/citations?hl=en&user=zT8cqLkAAAAJ,Dennis Sylvester
/citations?hl=en&user=KN8ZOBIAAAAJ,Bruce R Maxim
